编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
330300,温州市,wen zhou shi,3,330000,温州,市
469005,文昌市,wen chang shi,3,460000,文昌,市
532600,文山壮族苗族自治州,wen shan zhuang zu miao zu zi zhi zhou,3,530000,文山,壮族苗族自治州
150300,乌海市,wu hai shi,3,150000,乌海,市
150900,乌兰察布市,wu lan cha bu shi,3,150000,乌兰察布,市
650100,乌鲁木齐市,wu lu mu qi shi,3,650000,乌鲁木齐,市
320200,无锡市,wu xi shi,3,320000,无锡,市
640300,吴忠市,wu zhong shi,3,640000,吴忠,市
340200,芜湖市,wu hu shi,3,340000,芜湖,市
450400,梧州市,wu zhou shi,3,450000,梧州,市
659004,五家渠市,wu jia qu shi,3,650000,五家渠,市
469001,五指山市,wu zhi shan shi,3,460000,五指山,市
420100,武汉市,wu han shi,3,420000,武汉,市
620600,武威市,wu wei shi,3,620000,武威,市
610100,西安市,xi an shi,3,610000,西安,市
630100,西宁市,xi ning shi,3,630000,西宁,市
532800,西双版纳傣族自治州,xi shuang ban na dai zu zi zhi zhou,3,530000,西双版纳,傣族自治州
152500,锡林郭勒盟,xi lin guo le meng,3,150000,锡林郭勒盟,
350200,厦门市,xia men shi,3,350000,厦门,市
429004,仙桃市,xian tao shi,3,420000,仙桃,市
421200,咸宁市,xian ning shi,3,420000,咸宁,市
610400,咸阳市,xian yang shi,3,610000,咸阳,市
811000,香港岛,xiang gang dao,3,810000,香港岛,
430300,湘潭市,xiang tan shi,3,430000,湘潭,市
433100,湘西土家族苗族自治州,xiang xi tu jia zu miao zu zi zhi zhou,3,430000,湘西,土家族苗族自治州
420600,襄阳市,xiang yang shi,3,420000,襄阳,市
420900,孝感市,xiao gan shi,3,420000,孝感,市
140900,忻州市,xin zhou shi,3,140000,忻州,市
813000,新界,xin jie,3,810000,新界,
410700,新乡市,xin xiang shi,3,410000,新乡,市
360500,新余市,xin yu shi,3,360000,新余,市
411500,信阳市,xin yang shi,3,410000,信阳,市
152200,兴安盟,xing an meng,3,150000,兴安盟,
130500,邢台市,xing tai shi,3,130000,邢台,市
320300,徐州市,xu zhou shi,3,320000,徐州,市
411000,许昌市,xu chang shi,3,410000,许昌,市
341800,宣城市,xuan cheng shi,3,340000,宣城,市
511800,雅安市,ya an shi,3,510000,雅安,市
370600,烟台市,yan tai shi,3,370000,烟台,市
610600,延安市,yan an shi,3,610000,延安,市
222400,延边朝鲜族自治州,yan bian chao xian zu zi zhi zhou,3,220000,延边,朝鲜族自治州
320900,盐城市,yan cheng shi,3,320000,盐城,市
321000,扬州市,yang zhou shi,3,320000,扬州,市
441700,阳江市,yang jiang shi,3,440000,阳江,市
140300,阳泉市,yang quan shi,3,140000,阳泉,市
230700,伊春市,yi chun shi,3,230000,伊春,市
654000,伊犁哈萨克自治州,yi li ha sa ke zi zhi zhou,3,650000,伊犁哈萨克,自治州
511500,宜宾市,yi bin shi,3,510000,宜宾,市
420500,宜昌市,yi chang shi,3,420000,宜昌,市
360900,宜春市,yi chun shi,3,360000,宜春,市
430900,益阳市,yi yang shi,3,430000,益阳,市
640100,银川市,yin chuan shi,3,640000,银川,市
